graph_id,family,encoding_id,vertex_count,edge_count,code_length,minimum_injective_length,excess_bits,L_max,L_max_edge_count,L_99,L_95,L_mean,L_standard_deviation,L_minimum,unordered_pair_count,spearman_angular_hamming_correlation,mean_absolute_distortion,root_mean_squared_distortion,maximum_absolute_distortion,mean_normalised_hamming_distance,mean_normalised_angular_distance,far_pair_count,far_minimum_raw_hamming_distance,far_mean_raw_hamming_distance,far_minimum_normalised_hamming_distance,far_mean_normalised_hamming_distance,antipodal_pair_count,antipodal_minimum_raw_hamming_distance,antipodal_maximum_raw_hamming_distance,antipodal_mean_raw_hamming_distance,antipodal_minimum_normalised_hamming_distance,antipodal_mean_normalised_hamming_distance,collision_count,unique_codeword_count,largest_collision_class_size,multi_member_collision_class_count,constant_bit_count,maximum_absolute_deviation_from_half,mean_absolute_deviation_from_half,duplicate_bit_column_pair_count,complementary_bit_column_pair_count,maximum_absolute_pearson_correlation
icosphere_l0,icosphere_triangulation,canonical_index_binary,12,30,4,4,0,4,2,4,4,2.066666666666667,0.9285592184789413,1,66,0.0,0.2568435205001313,0.30293652330218374,0.6475836176504333,0.5151515151515151,0.5454545454545454,6,2,2.0,0.5,0.5,6,2,2,2.0,0.5,0.5,0,12,1,0,0,0.16666666666666669,0.08333333333333334,0,0,0.5000000000000001
icosphere_l0,icosphere_triangulation,canonical_index_gray,12,30,4,4,0,4,2,4,4,2.066666666666667,0.9285592184789413,1,66,-0.12155877719378871,0.2568435205001313,0.3283130573413877,0.75,0.5151515151515151,0.5454545454545454,6,1,1.0,0.25,0.25,6,1,1,1.0,0.25,0.25,0,12,1,0,0,0.16666666666666669,0.08333333333333333,0,0,0.5000000000000001
icosphere_l1,icosphere_triangulation,canonical_index_binary,42,120,6,6,0,6,1,5,5,2.65,1.2626031311012447,1,861,0.04085635628240404,0.22455013944192698,0.28232642006083525,0.8,0.48180410375532323,0.5121951219291838,141,1,2.900709219858156,0.16666666666666666,0.4834515366430259,21,2,4,2.5238095238095237,0.3333333333333333,0.42063492063492064,0,42,1,0,0,0.2619047619047619,0.08333333333333336,0,0,0.43852900965351455
icosphere_l1,icosphere_triangulation,canonical_index_gray,42,120,6,6,0,5,6,5,5,2.3,1.1372481406154653,1,861,0.21757898674978832,0.1948169826471605,0.2540536983555403,0.8333333333333334,0.48180410375532323,0.5121951219291838,141,1,3.297872340425532,0.16666666666666666,0.549645390070922,21,1,6,2.8095238095238093,0.16666666666666666,0.4682539682539682,0,42,1,0,0,0.2619047619047619,0.08333333333333336,0,0,0.43852900965351455
icosphere_l2,icosphere_triangulation,canonical_index_binary,162,480,8,8,0,8,2,7,6,3.4125,1.5813529281388559,1,13041,0.039401660155478614,0.2191228774609742,0.2719153853928754,0.9088197011502717,0.47696687370600416,0.5031055900540584,1791,1,3.7828029034059183,0.125,0.4728503629257398,81,2,7,3.765432098765432,0.25,0.470679012345679,0,162,1,0,0,0.29012345679012347,0.06404320987654323,0,0,0.41649656391752143
icosphere_l2,icosphere_triangulation,canonical_index_gray,162,480,8,8,0,8,1,7,6,3.2083333333333335,1.6273487299558411,1,13041,0.13576803159865422,0.20684795229128983,0.25833882656581664,0.9118959044126085,0.47696687370600416,0.5031055900540584,1791,1,3.9843662758235623,0.125,0.4980457844779453,81,1,7,3.7160493827160495,0.125,0.4645061728395062,0,162,1,0,0,0.29012345679012347,0.06404320987654323,0,0,0.41649656391752143
icosphere_l3,icosphere_triangulation,canonical_index_binary,642,1920,10,10,0,10,2,8,7,3.980208333333333,1.972367432789985,1,205761,0.03963671750917375,0.21329105359879966,0.2630608500736151,0.9555653345256991,0.47906503176014886,0.5007800311982484,29871,1,4.793813397609722,0.1,0.4793813397609722,321,2,9,4.738317757009346,0.2,0.47383177570093454,0,642,1,0,0,0.29750778816199375,0.050623052959501556,0,0,0.4103581148014742
icosphere_l3,icosphere_triangulation,canonical_index_gray,642,1920,10,10,0,10,2,8,7,3.808333333333333,2.0748326572414353,1,205761,0.15301155534539257,0.19919038428911,0.24750968686874147,0.9544098505751357,0.47906503176014886,0.5007800311982484,29871,1,5.090823876000134,0.1,0.5090823876000133,321,1,9,5.043613707165109,0.1,0.5043613707165109,0,642,1,0,0,0.29750778816199375,0.050623052959501535,0,0,0.4103581148014747
primitive_q2_knn4,primitive_integer_directions,canonical_index_binary,98,264,7,7,0,7,2,6,5,2.9393939393939394,1.3858460699732271,1,4753,0.1300442896601504,0.2140369298817799,0.2663338507043866,0.9015807092018451,0.49150912205824887,0.5051546391548147,745,1,3.578523489932886,0.14285714285714285,0.5112176414189837,49,1,5,3.857142857142857,0.14285714285714285,0.5510204081632653,0,98,1,0,0,0.15306122448979592,0.04956268221574345,0,0,0.44117647058823534
primitive_q2_knn4,primitive_integer_directions,canonical_index_gray,98,264,7,7,0,6,7,6,5,2.6742424242424243,1.3455663003000684,1,4753,0.2179290817443592,0.20258916466738874,0.25149944772999727,0.8571428571428572,0.49150912205824887,0.5051546391548147,745,1,3.840268456375839,0.14285714285714285,0.5486097794822626,49,1,5,4.1020408163265305,0.14285714285714285,0.58600583090379,0,98,1,0,0,0.15306122448979592,0.04956268221574344,0,0,0.4411764705882354
