graph_id,family,encoding_id,applicable,inapplicable_reason
icosphere_l0,icosphere_triangulation,canonical_index_binary,true,
icosphere_l0,icosphere_triangulation,canonical_index_gray,true,
icosphere_l0,icosphere_triangulation,cartesian_coordinate_binary,false,authoritative integer coordinates are unavailable for icosphere graphs
icosphere_l0,icosphere_triangulation,cartesian_coordinate_gray,false,authoritative integer coordinates are unavailable for icosphere graphs
icosphere_l1,icosphere_triangulation,canonical_index_binary,true,
icosphere_l1,icosphere_triangulation,canonical_index_gray,true,
icosphere_l1,icosphere_triangulation,cartesian_coordinate_binary,false,authoritative integer coordinates are unavailable for icosphere graphs
icosphere_l1,icosphere_triangulation,cartesian_coordinate_gray,false,authoritative integer coordinates are unavailable for icosphere graphs
icosphere_l2,icosphere_triangulation,canonical_index_binary,true,
icosphere_l2,icosphere_triangulation,canonical_index_gray,true,
icosphere_l2,icosphere_triangulation,cartesian_coordinate_binary,false,authoritative integer coordinates are unavailable for icosphere graphs
icosphere_l2,icosphere_triangulation,cartesian_coordinate_gray,false,authoritative integer coordinates are unavailable for icosphere graphs
icosphere_l3,icosphere_triangulation,canonical_index_binary,true,
icosphere_l3,icosphere_triangulation,canonical_index_gray,true,
icosphere_l3,icosphere_triangulation,cartesian_coordinate_binary,false,authoritative integer coordinates are unavailable for icosphere graphs
icosphere_l3,icosphere_triangulation,cartesian_coordinate_gray,false,authoritative integer coordinates are unavailable for icosphere graphs
primitive_q2_knn4,primitive_integer_directions,canonical_index_binary,true,
primitive_q2_knn4,primitive_integer_directions,canonical_index_gray,true,
primitive_q2_knn4,primitive_integer_directions,cartesian_coordinate_binary,true,
primitive_q2_knn4,primitive_integer_directions,cartesian_coordinate_gray,true,
primitive_q2_knn6,primitive_integer_directions,canonical_index_binary,true,
primitive_q2_knn6,primitive_integer_directions,canonical_index_gray,true,
primitive_q2_knn6,primitive_integer_directions,cartesian_coordinate_binary,true,
primitive_q2_knn6,primitive_integer_directions,cartesian_coordinate_gray,true,
primitive_q2_knn8,primitive_integer_directions,canonical_index_binary,true,
primitive_q2_knn8,primitive_integer_directions,canonical_index_gray,true,
primitive_q2_knn8,primitive_integer_directions,cartesian_coordinate_binary,true,
primitive_q2_knn8,primitive_integer_directions,cartesian_coordinate_gray,true,
primitive_q3_knn4,primitive_integer_directions,canonical_index_binary,true,
primitive_q3_knn4,primitive_integer_directions,canonical_index_gray,true,
primitive_q3_knn4,primitive_integer_directions,cartesian_coordinate_binary,true,
primitive_q3_knn4,primitive_integer_directions,cartesian_coordinate_gray,true,
primitive_q3_knn6,primitive_integer_directions,canonical_index_binary,true,
primitive_q3_knn6,primitive_integer_directions,canonical_index_gray,true,
primitive_q3_knn6,primitive_integer_directions,cartesian_coordinate_binary,true,
primitive_q3_knn6,primitive_integer_directions,cartesian_coordinate_gray,true,
primitive_q3_knn8,primitive_integer_directions,canonical_index_binary,true,
primitive_q3_knn8,primitive_integer_directions,canonical_index_gray,true,
primitive_q3_knn8,primitive_integer_directions,cartesian_coordinate_binary,true,
primitive_q3_knn8,primitive_integer_directions,cartesian_coordinate_gray,true,
primitive_q4_knn4,primitive_integer_directions,canonical_index_binary,true,
primitive_q4_knn4,primitive_integer_directions,canonical_index_gray,true,
primitive_q4_knn4,primitive_integer_directions,cartesian_coordinate_binary,true,
primitive_q4_knn4,primitive_integer_directions,cartesian_coordinate_gray,true,
primitive_q4_knn6,primitive_integer_directions,canonical_index_binary,true,
primitive_q4_knn6,primitive_integer_directions,canonical_index_gray,true,
primitive_q4_knn6,primitive_integer_directions,cartesian_coordinate_binary,true,
primitive_q4_knn6,primitive_integer_directions,cartesian_coordinate_gray,true,
primitive_q4_knn8,primitive_integer_directions,canonical_index_binary,true,
primitive_q4_knn8,primitive_integer_directions,canonical_index_gray,true,
primitive_q4_knn8,primitive_integer_directions,cartesian_coordinate_binary,true,
primitive_q4_knn8,primitive_integer_directions,cartesian_coordinate_gray,true,
